netstat -at
Conexões Internet Ativas (servidores e estabelecidas)
Proto Recv-Q Send-Q Endereço Local          Endereço Remoto         Estado      
tcp        0      0 localhost:domain        0.0.0.0:*               OUÇA      
tcp        0      0 localhost:ipp           0.0.0.0:*               OUÇA      
tcp        0      0 juliocezar-340XAA:53372 ec2-34-195-174-16:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:52932 a23-52-118-36.dep:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:49248 server-99-84-27-9:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:57336 152.199.55.24:https     ESTABELECIDA
tcp        0      0 juliocezar-340XAA:59842 a23-42-246-51.dep:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46334 a23-41-194-216.de:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:42400 104.36.115.111:https    ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46368 a23-41-194-216.de:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:43888 a23-5-34-110.depl:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:38598 dsp.adfarm1.aditi:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:37888 ec2-52-23-30-201.:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:57890 ec2-18-218-71-66.:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:42964 192.16.49.155:https     ESTABELECIDA
tcp        0      0 juliocezar-340XAA:44938 ec2-34-200-196-11:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:34160 51.183.211.35.bc.:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:53106 151.101.0.166:https     ESTABELECIDA
tcp        0      0 juliocezar-340XAA:58580 pr-bh.pbp.vip.bf1:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:49610 163.41.231.35.bc.:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:40544 ec2-54-151-59-250:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:58980 ec2-52-210-120-22:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46448 a23-41-194-216.de:https ESTABELECIDA
tcp      158      0 juliocezar-340XAA:48458 213-155-156-180.c:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:53082 e1-ha.ycpi.brd.ya:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:50444 cm002.richaudienc:https TIME_WAIT  
tcp        0      0 juliocezar-340XAA:48488 ec2-54-183-0-33.u:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:39722 ec2-18-228-99-199:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46630 104.18.101.194:https    ESTABELECIDA
tcp        0      0 juliocezar-340XAA:40616 ec2-52-9-76-70.us:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:57286 a23-42-243-112.de:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46062 ec2-52-2-87-143.c:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:42780 110.113.95.34.bc.:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:45002 ec2-18-195-155-18:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46038 8.43.72.97:https        ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46056 151.101.130.49:https    ESTABELECIDA
tcp        0      0 juliocezar-340XAA:56698 ec2-34-201-254-22:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46056 ec2-52-2-87-143.c:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:45472 216.200.232.114:https   ESTABELECIDA
tcp        0      0 juliocezar-340XAA:48548 ec2-54-183-0-33.u:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:40542 e1-ha.ycpi.bra.ya:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:39180 147.75.40.28:https      ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46338 a23-41-194-216.de:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:58024 ec2-54-232-215-55:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:54820 ec2-3-223-110-60.:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:60838 server-13-33-135-:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:52930 a23-52-118-36.dep:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:48502 ec2-54-183-0-33.u:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:57688 a23-42-243-112.de:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:37064 ec2-52-202-69-239:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46036 8.43.72.97:https        ESTABELECIDA
tcp        0      0 juliocezar-340XAA:43326 ec2-18-205-93-209:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:49564 209.205.217.82:https    ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46622 139.140.244.35.bc:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:48540 162.248.19.152:https    ESTABELECIDA
tcp        0      0 juliocezar-340XAA:57748 151.101.2.2:https       ESTABELECIDA
tcp        0      0 juliocezar-340XAA:60256 151.101.2.49:https      ESTABELECIDA
tcp        0      0 juliocezar-340XAA:39640 49.246.178.107.bc:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:59790 151.101.93.253:https    ESTABELECIDA
tcp        0      0 juliocezar-340XAA:33332 lb-140-82-114-26-:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:49016 ec2-34-200-123-22:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:33044 151.101.206.49:https    ESTABELECIDA
tcp       32      0 juliocezar-340XAA:43626 ec2-52-202-62-236:https ESPERANDO_FECHAR
tcp        0      0 juliocezar-340XAA:42678 104.16.91.60:https      ESTABELECIDA
tcp        0      0 juliocezar-340XAA:47152 a23-52-36-90.depl:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:57480 a23-42-243-112.de:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:47666 192.184.68.191:https    ESTABELECIDA
tcp        0      0 juliocezar-340XAA:38098 ec2-54-157-24-237:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:48802 ce-in-f188.1e100.n:5228 ESTABELECIDA
tcp        0      0 juliocezar-340XAA:54322 21.72.190.35.bc.g:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:50694 ec2-54-94-136-200:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:54024 ec2-52-45-135-166:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:49246 38.67.14.226:https      ESTABELECIDA
tcp        0      0 juliocezar-340XAA:50388 198.54.12.145:https     ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46058 ec2-52-2-87-143.c:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:53246 a23-52-118-36.dep:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:35648 ec2-3-132-11-165.:https ESTABELECIDA
tcp        0    517 juliocezar-340XAA:51856 198.22.162.81:https     ESTABELECIDA
tcp        0      0 juliocezar-340XAA:43452 ec2-54-152-185-10:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46060 ec2-52-2-87-143.c:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:60588 170.76.216.244:https    ESTABELECIDA
tcp        0      0 juliocezar-340XAA:42336 ads23-fw-us-east.:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:46054 ec2-52-2-87-143.c:https ESTABELECIDA
tcp        0    539 juliocezar-340XAA:50970 ec2-3-220-227-225:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:44638 ec2-52-3-158-69.c:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:51846 198.22.162.81:https     ESTABELECIDA
tcp        0      0 juliocezar-340XAA:41034 a-0001.a-msedge.n:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:41996 104.25.126.23:https     ESTABELECIDA
tcp        0      0 juliocezar-340XAA:40618 ec2-52-9-76-70.us:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:34888 cf.c0.3ea9.ip4.st:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:48480 a23-42-249-182.de:https ESTABELECIDA
tcp        0      0 juliocezar-340XAA:42976 prebid.nym2.adnex:https ESTABELECIDA
